A1,A4,A9,A10,A11,A12
0,5.0,5.0,1,1,6
0,11.0,1.0,1,1,11
0,11.125,0.46,1,1,1
1,10.25,1.085,0,0,0
1,11.045,2.0,0,0,0
1,0.0,0.5,0,0,0
1,9.54,0.04,0,0,0
1,1.75,0.165,0,0,0
1,2.335,5.75,0,0,0
1,0.0,0.0,0,0,0
1,1.335,0.335,0,0,0
1,10.5,0.0,0,0,0
1,0.585,0.0,0,0,0
1,0.085,0.04,0,0,0
1,1.21,0.0,0,0,0
1,6.0,1.25,0,0,0
0,1.54,0.125,1,0,0
0,0.165,0.21,0,0,0
1,2.5,1.25,0,0,0
1,6.75,0.04,0,0,0
1,10.125,0.125,0,0,0
1,2.5,2.25,0,0,0
1,5.71,0.54,0,0,0
1,5.415,0.29,0,0,0
1,10.0,0.165,0,0,0
1,0.835,0.085,1,0,0
1,0.875,0.25,0,0,0
1,0.585,0.125,0,0,0
1,4.46,0.25,0,0,0
1,1.25,0.25,0,1,1
1,12.625,0.125,0,1,2
1,10.0,0.165,0,1,1
1,0.58,0.29,0,1,1
1,0.415,0.165,0,1,1
1,1.75,0.0,0,0,0
1,0.75,0.5,0,0,0
1,10.0,1.0,0,1,1
1,0.54,0.165,0,1,1
1,2.415,0.125,0,1,2
1,0.335,0.0,0,1,1
1,3.125,3.04,0,1,2
1,9.0,4.0,0,1,1
1,2.5,1.75,0,1,2
1,2.75,0.665,0,1,1
1,12.125,3.335,0,1,2
1,2.0,6.5,0,1,1
1,0.165,0.25,0,0,0
1,1.0,0.5,0,0,0
1,2.875,0.085,0,0,0
1,13.665,1.5,0,0,0
1,26.335,0.0,1,0,0
1,2.75,4.5,0,0,0
1,10.29,0.415,0,0,0
1,1.29,0.25,0,0,0
1,3.0,0.0,0,0,0
1,4.5,1.0,0,0,0
1,1.75,2.335,0,0,0
1,0.21,0.125,0,0,0
1,10.0,0.415,0,0,0
1,0.0,0.25,0,0,0
1,0.75,0.5,1,0,0
1,0.25,0.25,0,0,0
0,22.0,0.0,0,0,0
0,0.0,0.0,0,0,0
0,0.125,1.5,0,0,0
0,1.5,1.5,0,0,0
0,0.375,10.0,0,0,0
0,0.375,0.375,0,0,0
0,0.205,0.25,1,1,11
1,1.25,1.165,0,0,0
1,1.085,1.0,0,0,0
1,1.085,0.04,0,0,0
1,2.5,3.0,0,0,0
1,2.5,2.5,0,0,0
1,2.5,1.0,0,0,0
1,12.5,1.0,0,0,0
1,2.5,0.5,0,0,0
1,0.75,0.165,0,0,0
1,6.5,1.0,0,0,0
1,1.25,0.5,0,0,0
1,3.0,2.0,0,0,0
1,3.0,0.75,0,0,0
1,4.0,3.0,0,0,0
1,4.085,0.04,0,0,0
1,2.25,0.5,0,0,0
1,2.75,0.0,0,0,0
1,1.75,0.5,0,0,0
1,7.0,0.0,0,0,0
1,4.5,2.5,0,0,0
1,0.54,0.585,1,1,3
1,1.5,2.25,0,1,1
1,2.0,0.0,0,0,0
1,0.585,0.0,0,0,0
1,11.5,1.5,0,0,0
1,1.585,0.585,0,0,0
1,2.0,0.25,0,0,0
1,0.165,1.0,0,1,2
1,1.335,0.165,0,0,0
1,0.165,0.04,0,0,0
1,3.0,0.165,0,0,0
1,4.71,0.0,0,0,0
1,5.5,5.5,0,0,0
1,2.5,0.085,0,0,0
1,0.54,0.0,0,0,0
1,0.335,0.29,0,0,0
1,2.0,0.165,0,1,2
1,1.25,13.875,0,1,1
1,6.165,0.165,0,0,0
1,1.71,0.165,0,0,0
1,11.5,3.0,0,0,0
1,0.75,0.75,0,0,0
1,2.5,7.0,0,0,0
1,13.0,0.0,0,0,0
1,4.585,1.0,0,0,0
1,1.54,0.125,0,0,0
1,0.5,1.0,0,0,0
1,14.5,0.125,0,0,0
1,0.835,2.0,0,0,0
1,1.335,0.125,0,0,0
1,0.25,4.0,0,0,0
1,5.0,2.25,0,0,0
1,7.0,0.165,0,0,0
1,2.5,4.5,0,0,0
1,4.25,5.0,0,0,0
1,11.46,1.585,0,0,0
1,5.5,1.5,0,0,0
1,1.5,0.54,0,0,0
1,0.0,0.5,0,0,0
1,14.585,0.0,0,0,0
1,0.17,0.085,0,0,0
1,7.0,1.0,0,0,0
1,5.0,0.21,0,0,0
1,12.5,0.25,0,0,0
1,0.54,1.0,0,0,0
1,1.25,0.25,0,0,0
1,1.625,0.54,0,0,0
1,2.04,0.04,0,0,0
1,0.585,0.125,0,0,0
1,12.5,1.25,0,0,0
1,2.085,0.085,0,0,0
1,5.085,0.29,0,0,0
1,0.375,0.29,0,0,0
1,6.5,3.085,0,0,0
1,0.335,0.75,0,0,0
1,5.085,1.085,0,0,0
1,6.0,0.0,0,0,0
1,0.665,1.0,0,1,1
1,3.125,0.085,0,1,1
1,0.25,0.335,0,1,4
1,2.835,0.0,0,1,5
1,3.0,1.25,0,1,1
1,0.79,0.085,0,0,0
1,1.5,0.0,0,0,0
1,0.46,0.125,0,0,0
1,1.25,3.25,0,0,0
1,0.125,0.125,0,0,0
1,1.79,0.54,0,0,0
1,0.705,0.375,0,1,2
1,2.54,0.0,0,0,0
1,2.5,1.0,0,0,0
1,1.085,1.5,0,0,0
1,1.25,1.75,0,0,0
1,0.835,1.165,0,0,0
1,2.165,1.5,0,0,0
1,1.25,0.25,0,0,0
1,2.04,0.25,0,0,0
1,0.835,0.04,0,0,0
1,2.29,0.29,0,0,0
1,0.335,0.085,0,0,0
1,3.0,1.5,0,0,0
1,3.165,0.165,0,0,0
1,1.54,0.085,0,0,0
1,1.0,0.5,0,0,0
1,2.71,2.415,0,0,0
1,0.0,0.0,0,1,4
1,0.585,0.0,0,1,3
1,0.165,0.0,0,0,0
1,1.25,0.0,0,1,1
1,0.875,0.375,0,1,2
1,0.0,1.0,0,1,11
1,5.0,0.0,0,1,2
1,2.71,0.125,0,0,0
1,3.0,0.04,0,0,0
1,0.0,0.0,0,0,0
1,0.125,0.165,0,0,0
1,1.665,0.0,0,0,0
1,1.125,0.0,0,1,1
1,7.0,0.5,0,0,0
1,1.625,1.5,0,0,0
1,4.25,3.5,0,0,0
1,1.5,3.75,0,0,0
1,18.125,0.085,0,0,0
1,0.75,0.04,0,0,0
1,5.5,5.0,0,0,0
1,0.29,1.5,0,0,0
1,2.415,0.0,0,0,0
1,0.875,0.085,0,1,4
1,0.5,0.125,0,0,0
1,0.29,0.0,0,1,10
1,1.835,0.0,0,1,1
1,3.0,2.79,0,1,1
1,3.085,2.5,0,1,2
1,1.375,0.04,0,1,3
1,2.335,0.75,0,0,0
1,4.085,0.415,0,0,0
1,11.665,0.085,0,0,0
1,4.125,0.04,0,0,0
1,6.5,0.125,0,0,0
1,4.0,1.0,0,0,0
1,0.415,0.125,0,0,0
1,2.0,0.75,0,0,0
1,0.835,0.085,0,0,0
1,2.5,10.0,0,0,0
1,11.5,0.415,0,0,0
1,0.5,0.165,0,1,6
1,3.165,0.415,0,1,1
1,9.5,1.75,0,1,10
1,0.415,0.04,0,1,2
1,1.08,1.165,0,0,0
1,19.0,0.04,0,1,2
1,0.125,0.085,0,0,0
1,13.335,0.04,0,0,0
1,3.54,0.0,0,0,0
0,0.75,2.75,1,1,1
0,0.875,4.625,1,1,2
0,9.5,6.5,1,1,14
0,11.835,6.0,1,0,0
0,4.415,3.0,1,0,0
0,9.5,1.5,1,0,0
0,0.875,1.04,1,0,0
0,9.25,1.665,1,1,3
0,0.5,1.46,1,1,5
0,7.0,1.625,1,1,3
0,5.0,3.5,1,1,10
0,0.165,0.0,1,1,1
0,5.125,4.75,1,1,2
0,3.75,1.085,1,1,1
0,19.5,7.0,1,1,16
0,9.0,0.75,1,1,2
0,3.0,1.835,1,1,19
0,12.0,2.0,1,1,1
0,4.79,2.25,1,1,1
0,4.0,1.75,1,1,2
0,4.0,0.0,1,0,0
0,0.0,2.5,1,0,0
0,9.96,0.0,1,0,0
0,2.54,2.585,1,0,0
0,5.0,4.0,1,1,4
0,0.75,1.75,1,1,5
0,0.375,0.585,1,1,4
0,1.71,0.125,1,1,5
0,5.29,2.25,1,1,5
0,3.0,1.29,1,1,1
1,8.5,1.75,1,1,10
1,1.665,2.415,1,0,0
1,1.5,2.5,1,0,0
1,1.75,0.21,1,0,0
1,0.335,1.0,1,0,0
1,7.08,6.75,1,1,3
1,25.21,0.21,1,1,1
1,2.085,2.75,1,0,0
1,0.67,1.75,1,0,0
1,2.25,0.75,1,0,0
1,0.835,0.0,1,0,0
1,2.5,7.5,1,0,0
1,1.585,0.0,1,0,0
1,1.25,0.0,1,0,0
1,3.165,3.75,1,0,0
1,1.75,0.25,1,0,0
1,1.5,2.0,1,0,0
1,3.0,1.0,1,0,0
1,10.0,0.835,1,0,0
1,3.79,1.165,1,0,0
1,1.04,0.5,1,1,10
1,11.0,1.5,1,0,0
1,0.46,2.625,1,1,6
0,1.5,1.875,1,1,6
0,1.0,0.75,1,1,7
0,12.0,16.0,1,0,0
0,22.29,12.75,1,1,1
0,10.0,0.0,1,1,11
0,15.0,5.375,1,1,9
0,3.335,4.0,1,1,14
0,11.25,0.75,1,1,4
0,0.42,0.21,1,1,6
0,4.5,7.5,1,1,2
0,1.46,1.085,1,1,16
0,0.04,0.04,1,0,0
0,2.29,2.29,1,1,7
0,12.33,3.5,1,1,6
0,1.125,1.25,1,0,0
0,1.5,1.415,1,0,0
0,12.335,1.585,1,0,0
0,5.04,12.75,1,0,0
0,3.0,0.04,1,0,0
0,11.5,2.125,1,1,11
0,2.875,0.875,1,0,0
0,0.375,0.375,1,1,8
0,0.915,0.75,1,1,4
0,2.75,1.75,1,1,5
0,3.0,1.085,1,1,8
0,0.54,0.04,1,1,1
0,14.0,0.0,1,1,11
0,10.0,1.0,1,1,4
0,0.165,3.25,1,1,1
0,0.5,1.75,1,1,11
0,6.0,1.0,1,1,3
0,1.625,1.5,1,1,10
0,6.0,1.29,1,1,5
0,0.83,1.335,1,1,8
0,0.04,0.04,0,1,1
0,4.25,0.125,1,0,0
0,9.0,5.25,1,0,0
0,15.0,0.0,1,0,0
0,17.75,0.0,1,0,0
0,20.0,17.5,1,1,9
0,15.0,8.5,1,1,9
0,1.75,1.0,1,1,5
0,0.58,0.29,1,1,7
0,6.5,3.125,1,1,8
0,0.75,4.25,1,1,3
0,5.25,0.085,0,0,0
0,0.21,0.085,1,0,0
0,0.75,0.25,1,0,0
0,3.0,2.375,1,1,8
0,6.0,2.5,1,1,3
0,2.415,2.0,1,1,11
0,0.46,0.54,1,1,4
1,1.25,0.25,0,0,0
1,0.25,0.125,0,0,0
1,0.585,0.085,1,0,0
1,1.75,1.25,0,0,0
0,0.04,0.04,0,0,0
1,3.5,0.5,0,0,0
1,4.165,0.085,0,0,0
1,1.25,0.125,0,0,0
1,3.25,5.085,0,1,2
1,0.79,0.29,0,1,1
1,10.915,0.585,0,1,2
1,4.415,0.125,0,0,0
1,1.25,0.25,0,1,2
1,0.75,1.585,0,1,1
1,14.0,0.0,0,1,2
1,4.75,2.0,0,1,1
1,10.415,0.125,1,0,0
1,2.25,0.125,0,0,0
0,0.165,2.25,0,0,0
1,0.0,0.665,0,0,0
1,0.79,0.665,0,0,0
1,12.0,2.085,0,0,0
1,2.54,0.0,0,0,0
1,13.0,0.5,0,0,0
1,0.665,1.665,0,0,0
1,1.25,0.25,0,0,0
1,0.29,0.125,0,1,1
1,1.5,0.0,0,0,0
1,2.165,0.0,0,0,0
1,0.71,0.25,0,1,1
1,2.46,0.96,0,1,2
1,0.5,0.5,0,0,0
1,9.585,0.79,0,0,0
1,3.625,0.25,0,0,0
1,0.75,1.5,0,0,0
1,2.75,2.5,0,0,0
1,0.75,3.5,0,0,0
1,7.0,3.0,0,0,0
1,0.42,0.29,0,0,0
1,2.665,0.165,0,0,0
1,8.5,0.165,0,0,0
1,9.0,0.25,0,0,0
1,0.335,3.5,0,0,0
1,3.75,0.0,0,1,6
1,3.75,1.0,0,0,0
1,7.625,0.125,0,1,1
1,0.415,0.335,0,0,0
1,11.5,0.5,1,0,0
1,0.83,0.415,0,1,1
1,5.0,0.0,0,0,0
1,3.25,2.29,0,1,1
1,1.665,0.25,0,0,0
1,0.375,1.0,0,0,0
1,3.75,0.25,0,1,1
1,9.0,0.085,0,0,0
1,3.5,0.165,0,0,0
1,1.5,0.875,0,0,0
1,4.0,1.5,0,0,0
1,1.5,0.04,0,0,0
1,0.04,0.04,0,0,0
1,11.75,0.25,0,0,0
1,0.54,1.75,0,1,1
1,0.5,0.085,0,0,0
1,2.04,1.5,0,0,0
1,5.835,5.5,0,0,0
1,12.835,0.5,0,0,0
1,0.835,0.5,0,0,0
1,2.5,0.21,0,0,0
1,1.04,0.665,0,0,0
1,10.665,0.085,0,1,12
1,7.25,0.04,0,1,1
1,10.21,0.0,0,0,0
1,1.25,0.0,0,0,0
1,0.29,0.29,0,0,0
1,1.0,3.0,0,0,0
1,3.29,0.335,0,0,0
1,0.75,0.585,0,0,0
1,3.29,3.5,0,0,0
1,10.085,1.25,0,0,0
1,0.75,2.0,0,1,2
1,13.5,2.0,0,1,1
1,0.205,0.04,0,0,0
1,3.375,8.29,0,0,0
